Domain,Subdomain,Forename,Lastname,Fullname,Type
SH,"Individuals, Markets and Organisations (SH1)",Maria,Loureiro,Maria L. Loureiro,Member
SH,"Individuals, Markets and Organisations (SH1)",Claudio,Michelacci,Claudio Michelacci,Member
SH,"Individuals, Markets and Organisations (SH1)",Matthew,Mitchell,Matthew Mitchell,Member
SH,"Individuals, Markets and Organisations (SH1)",Nuno,Palma,Nuno Palma,Member
SH,"Individuals, Markets and Organisations (SH1)",David,Pisinger,David Pisinger,Member
SH,"Individuals, Markets and Organisations (SH1)",Petra,Šimović,Petra Posedel Šimović,Member
SH,"Individuals, Markets and Organisations (SH1)",Francesco,Rosati,Francesco Rosati,Member
SH,"Institutions, Governance and Legal Systems (SH2)",Emilie,Cloatre,Emilie Cloatre,Chair
SH,"Institutions, Governance and Legal Systems (SH2)",Marie-Claire,Belleau,Marie-Claire Belleau,Member
SH,"Institutions, Governance and Legal Systems (SH2)",Thomas,Bräuninger,Thomas J. Bräuninger,Member
SH,"Institutions, Governance and Legal Systems (SH2)",Halvard,Buhaug,Halvard Buhaug,Member
SH,"Institutions, Governance and Legal Systems (SH2)",Laura,Piñeiro,Laura Carballo Piñeiro,Member
SH,"Institutions, Governance and Legal Systems (SH2)",David,Farrell,David Farrell,Member
SH,"Institutions, Governance and Legal Systems (SH2)",Sophie,Jacquot,Sophie Jacquot,Member
SH,"Institutions, Governance and Legal Systems (SH2)",Olivier,Leclerc,Olivier Leclerc,Member
SH,"Institutions, Governance and Legal Systems (SH2)",Vili,Lehdonvirta,Vili Lehdonvirta,Member
SH,"Institutions, Governance and Legal Systems (SH2)",Alice,Mattoni,Alice Mattoni,Member
SH,"Institutions, Governance and Legal Systems (SH2)",Jørgen,Møller,Jørgen Møller,Member
SH,"Institutions, Governance and Legal Systems (SH2)",Annelise,Riles,Annelise Riles,Member
SH,"Institutions, Governance and Legal Systems (SH2)",Christine,Sypnowich,Christine Sypnowich,Member
SH,"Institutions, Governance and Legal Systems (SH2)",Jonas,Tallberg,Jonas Tallberg,Member
SH,"Institutions, Governance and Legal Systems (SH2)",Ramses,Wessel,Ramses A. Wessel,Member
SH,The Social World and Its Interactions (SH3),Olivier,Servais,Olivier Servais,Chair
